Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Exit_Price,Exit_Time,Capital_Acumulado,PnL_USD
EW3_L_0727,LONG,2024-07-27 15:30:00,99.46,96.36574999999999,116.23364000000001,CLOSED,1.686470943092702,116.23364000000001,2024-08-01 22:45:00,522.4987622891384,328.0061460065924
EW3_L_0813,LONG,2024-08-13 12:30:00,95.23,91.51015,103.15038,CLOSED,0.8317105954006085,103.15038,2024-08-14 11:30:00,957.0665189687188,434.5677566795803
EW3_L_0814,LONG,2024-08-14 15:15:00,103.22,99.25125,117.56418000000001,CLOSED,1.3896706064716149,117.56418000000001,2024-08-19 18:30:00,2287.0737288176556,1330.0072098489368
EW3_L_0822,LONG,2024-08-22 03:00:00,138.27,132.92205,164.67177999999998,CLOSED,-0.3867758732913862,132.92205,2024-08-23 03:45:00,1402.4887900724198,-884.5849387452357
EW3_S_0828,SHORT,2024-08-28 21:00:00,125.52,129.5445,105.26102,CLOSED,-0.32062619502868095,129.5445,2024-08-30 23:00:00,952.8141457411214,-449.67464433129845
EW3_S_0908,SHORT,2024-09-08 01:30:00,126.42,131.3937,99.41551999999999,CLOSED,-0.3934266729947788,131.3937,2024-09-09 07:00:00,577.9516463998298,-374.86249934129165
EW3_L_0912,LONG,2024-09-12 06:15:00,148.54,144.19539999999998,181.93983999999998,CLOSED,-0.2924868722229712,144.19539999999998,2024-09-12 15:15:00,408.90837704822695,-169.04326935160285
EW3_S_0916,SHORT,2024-09-16 16:15:00,141.44,144.44865,123.86095999999999,CLOSED,-0.2127156391402707,144.44865,2024-09-17 14:15:00,321.92717027460253,-86.9812067736244
EW3_L_0921,LONG,2024-09-21 16:30:00,150.7,149.00125,166.86844000000002,CLOSED,1.072889183808894,166.86844000000002,2024-09-23 03:00:00,667.3193492364277,345.39217896182515
EW3_S_0927,SHORT,2024-09-27 00:30:00,164.56,170.85,152.41234,CLOSED,-0.3822314049586772,170.85,2024-09-27 15:15:00,412.2489368216778,-255.0704124147499
EW3_L_0927,LONG,2024-09-27 17:30:00,168.7,162.80190000000002,172.55136,CLOSED,0.2282963841138115,172.55136,2024-09-27 21:15:00,506.3638784528299,94.11494163115216
EW3_L_0928,LONG,2024-09-28 01:00:00,168.31,162.80190000000002,172.55136,CLOSED,-0.3272592240508576,162.80190000000002,2024-09-29 01:15:00,340.651628502974,-165.7122499498559
EW3_S_1002,SHORT,2024-10-02 09:00:00,148.41,152.24745,117.36637999999999,CLOSED,-0.25857085102082,152.24745,2024-10-04 19:45:00,252.56904701933178,-88.08258148364222
EW3_L_1004,LONG,2024-10-04 22:00:00,150.73,144.90185,171.24294000000003,CLOSED,-0.3866615803091617,144.90185,2024-10-08 05:15:00,154.91030016165797,-97.65874685767379
EW3_L_1016,LONG,2024-10-16 13:45:00,156.21,151.94645,177.78900000000002,CLOSED,-0.27293707189040456,151.94645,2024-10-17 18:00:00,112.62953642987138,-42.28076373178659
