ts,clase,pnl,motivo
2024-01-04 08:19:00,SHORT_PARTIAL,0.7736204853334405,Rebalanceo Suelo
2024-01-04 08:41:00,SHORT_PARTIAL,1.1128062733023119,Rebalanceo Suelo
2024-01-04 08:45:00,SHORT_PARTIAL,1.2969357010568565,Rebalanceo Suelo
2024-01-04 08:46:00,SHORT_PARTIAL,1.0643511607353322,Rebalanceo Suelo
2024-01-04 10:21:00,SHORT_PARTIAL,1.3841549036774143,Rebalanceo Suelo
2024-01-04 10:24:00,SHORT_PARTIAL,1.7136496691328982,Rebalanceo Suelo
2024-01-04 10:25:00,SHORT_PARTIAL,1.636121489025728,Rebalanceo Suelo
2024-01-04 10:30:00,SHORT_PARTIAL,1.5004471738381766,Rebalanceo Suelo
2024-01-04 12:13:00,LONG_PARTIAL,2.2079226111556225,Rebalanceo Techo
2024-01-04 12:17:00,LONG_PARTIAL,2.6238447843625354,Rebalanceo Techo
2024-01-04 12:18:00,LONG_PARTIAL,2.514912786617869,Rebalanceo Techo
2024-01-04 12:25:00,LONG_PARTIAL,2.5644273310472605,Rebalanceo Techo
2024-01-04 12:33:00,LONG_PARTIAL,2.5644273310472605,Rebalanceo Techo
2024-01-04 12:34:00,LONG_PARTIAL,2.4753011510743614,Rebalanceo Techo
2024-01-04 12:39:00,LONG_PARTIAL,2.505009877731999,Rebalanceo Techo
2024-01-04 12:49:00,LONG_PARTIAL,2.7525825998789704,Rebalanceo Techo
2024-01-04 12:53:00,LONG_PARTIAL,2.891223324281275,Rebalanceo Techo
2024-01-04 12:54:00,LONG_PARTIAL,2.8219029620801157,Rebalanceo Techo
2024-01-04 12:58:00,LONG_PARTIAL,2.861514597623637,Rebalanceo Techo
2024-01-04 13:00:00,LONG_PARTIAL,2.871417506509507,Rebalanceo Techo
2024-01-04 14:34:00,SHORT_PARTIAL,1.190753575382159,Rebalanceo Suelo
2024-01-04 15:01:00,LONG_PARTIAL,2.8812897043177195,Rebalanceo Techo
2024-01-04 15:32:00,LONG_PARTIAL,3.781933991291541,Rebalanceo Techo
2024-01-04 15:37:00,LONG_PARTIAL,3.712653661524331,Rebalanceo Techo
2024-01-04 15:57:00,LONG_PARTIAL,3.8908030809257395,Rebalanceo Techo
2024-01-04 19:24:00,LONG_PARTIAL,3.9501862207262137,Rebalanceo Techo
2024-01-04 19:28:00,LONG_PARTIAL,3.9996721705599376,Rebalanceo Techo
2024-01-04 22:47:00,SHORT_PARTIAL,0.5297472758544919,Rebalanceo Suelo
2024-01-04 22:49:00,SHORT_PARTIAL,0.596918004107333,Rebalanceo Suelo
2024-01-05 00:19:00,LONG_PARTIAL,3.297926097351335,Rebalanceo Techo
2024-01-05 00:22:00,LONG_PARTIAL,3.4657297040073165,Rebalanceo Techo
2024-01-05 00:24:00,LONG_PARTIAL,3.3867633008750864,Rebalanceo Techo
2024-01-05 00:25:00,SHORT_PARTIAL,-3.5565082997942525,OLA ALCISTA (SL Short)
2024-01-05 00:26:00,LONG_PARTIAL,5.0647993674350245,Rebalanceo Techo
2024-01-05 00:27:00,LONG_PARTIAL,4.739062954514568,Rebalanceo Techo
2024-01-05 00:28:00,LONG_PARTIAL,4.3837141404195235,Rebalanceo Techo
2024-01-05 00:29:00,LONG_PARTIAL,4.156685731414352,Rebalanceo Techo
2024-01-05 00:31:00,LONG_PARTIAL,4.097460929065176,Rebalanceo Techo
2024-01-05 00:52:00,LONG_PARTIAL,4.541646946683985,Rebalanceo Techo
2024-01-05 00:53:00,LONG_PARTIAL,4.363972539636469,Rebalanceo Techo
2024-01-05 00:55:00,LONG_PARTIAL,4.324489338070347,Rebalanceo Techo
2024-01-05 00:57:00,LONG_PARTIAL,4.294876936895759,Rebalanceo Techo
2024-01-05 01:49:00,SHORT_PARTIAL,2.615854747078011,Rebalanceo Suelo
2024-01-05 01:52:00,SHORT_PARTIAL,2.682012454450927,Rebalanceo Suelo
2024-01-05 01:53:00,SHORT_PARTIAL,2.247261806000375,Rebalanceo Suelo
2024-01-05 02:30:00,SHORT_PARTIAL,2.748170161823829,Rebalanceo Suelo
2024-01-05 04:09:00,SHORT_PARTIAL,3.2868829218603803,Rebalanceo Suelo
2024-01-05 07:22:00,LONG_PARTIAL,2.9487972648603358,Rebalanceo Techo
2024-01-05 07:23:00,LONG_PARTIAL,2.9291242671028663,Rebalanceo Techo
2024-01-05 07:28:00,LONG_PARTIAL,3.342257220009817,Rebalanceo Techo
2024-01-05 07:29:00,LONG_PARTIAL,3.3127477233736053,Rebalanceo Techo
2024-01-05 07:30:00,LONG_PARTIAL,3.2045462357075003,Rebalanceo Techo
2024-01-05 07:31:00,LONG_PARTIAL,3.1160177457988647,Rebalanceo Techo
2024-01-05 07:38:00,LONG_PARTIAL,3.047162253647713,Rebalanceo Techo
2024-01-05 07:42:00,LONG_PARTIAL,3.145527242435077,Rebalanceo Techo
2024-01-05 07:43:00,LONG_PARTIAL,3.0373257547689714,Rebalanceo Techo
2024-01-05 09:03:00,LONG_PARTIAL,3.6275156874931795,Rebalanceo Techo
2024-01-05 09:04:00,LONG_PARTIAL,3.499641202069604,Rebalanceo Techo
2024-01-05 09:06:00,LONG_PARTIAL,3.499641202069604,Rebalanceo Techo
2024-01-05 10:38:00,SHORT_PARTIAL,0.9732151883145447,Rebalanceo Suelo
2024-01-05 10:52:00,SHORT_PARTIAL,1.2876161791540293,Rebalanceo Suelo
2024-01-05 10:54:00,SHORT_PARTIAL,1.325725390164882,Rebalanceo Suelo
2024-01-05 10:57:00,SHORT_PARTIAL,1.6591809865097864,Rebalanceo Suelo
2024-01-05 10:59:00,SHORT_PARTIAL,1.7925632250477508,Rebalanceo Suelo
2024-01-05 11:49:00,SHORT_PARTIAL,2.2975102709414723,Rebalanceo Suelo
2024-01-05 11:56:00,SHORT_PARTIAL,2.4404198122321397,Rebalanceo Suelo
2024-01-05 11:57:00,SHORT_PARTIAL,2.307037573694175,Rebalanceo Suelo
2024-01-05 12:09:00,SHORT_PARTIAL,2.6023839590282405,Rebalanceo Suelo
2024-01-05 12:11:00,SHORT_PARTIAL,2.669075078297229,Rebalanceo Suelo
2024-01-05 12:13:00,SHORT_PARTIAL,2.592856656275537,Rebalanceo Suelo
2024-01-05 13:49:00,SHORT_PARTIAL,3.3264589682343346,Rebalanceo Suelo
2024-01-05 13:52:00,SHORT_PARTIAL,3.288349757223482,Rebalanceo Suelo
2024-01-05 16:02:00,LONG_PARTIAL,0.1541999533962192,Rebalanceo Techo
2024-01-05 16:03:00,LONG_PARTIAL,-0.04170068220944855,Rebalanceo Techo
2024-01-05 16:59:00,LONG_PARTIAL,-2.020297101826661,OLA BAJISTA (SL Long)
2024-01-05 17:07:00,SHORT_PARTIAL,2.1361340229941743,Rebalanceo Suelo
2024-01-05 17:09:00,SHORT_PARTIAL,2.4102350780463073,Rebalanceo Suelo
2024-01-05 19:24:00,LONG_PARTIAL,1.5626565160773338,Rebalanceo Techo
2024-01-05 19:47:00,LONG_PARTIAL,1.6327757187218226,Rebalanceo Techo
2024-01-05 23:09:00,LONG_PARTIAL,2.5343083241510582,Rebalanceo Techo
2024-01-05 23:10:00,LONG_PARTIAL,2.504257237303416,Rebalanceo Techo
2024-01-06 01:22:00,SHORT_PARTIAL,0.8972414883226946,Rebalanceo Suelo
2024-01-06 05:19:00,SHORT_PARTIAL,2.470456250734452,Rebalanceo Suelo
2024-01-06 05:26:00,SHORT_PARTIAL,2.6658866560029955,Rebalanceo Suelo
2024-01-06 05:29:00,SHORT_PARTIAL,3.125148108384067,Rebalanceo Suelo
2024-01-06 05:30:00,SHORT_PARTIAL,3.03720442601322,Rebalanceo Suelo
2024-01-06 05:31:00,SHORT_PARTIAL,2.8417740207446758,Rebalanceo Suelo
2024-01-06 05:52:00,SHORT_PARTIAL,3.516008918921155,Rebalanceo Suelo
2024-01-06 05:54:00,SHORT_PARTIAL,3.379207635233175,Rebalanceo Suelo
2024-01-06 05:55:00,SHORT_PARTIAL,2.9785753044326553,Rebalanceo Suelo
2024-01-06 06:12:00,SHORT_PARTIAL,3.6332671620822703,Rebalanceo Suelo
2024-01-06 06:13:00,SHORT_PARTIAL,3.388979155496594,Rebalanceo Suelo
2024-01-06 06:14:00,SHORT_PARTIAL,3.330350033916029,Rebalanceo Suelo
2024-01-06 06:25:00,SHORT_PARTIAL,3.985041891565644,Rebalanceo Suelo
2024-01-06 06:26:00,SHORT_PARTIAL,3.8482406078776648,Rebalanceo Suelo
2024-01-06 06:27:00,SHORT_PARTIAL,3.789611486297114,Rebalanceo Suelo
2024-01-06 06:28:00,SHORT_PARTIAL,3.7309823647165494,Rebalanceo Suelo
2024-01-06 06:56:00,LONG_PARTIAL,-2.079325937651757,OLA BAJISTA (SL Long)
2024-01-06 06:57:00,SHORT_PARTIAL,4.9426508773815,Rebalanceo Suelo
2024-01-06 06:58:00,SHORT_PARTIAL,4.913336316591218,Rebalanceo Suelo
2024-01-06 06:59:00,SHORT_PARTIAL,4.78630655316667,Rebalanceo Suelo
2024-01-06 12:48:00,SHORT_PARTIAL,3.1056050678572165,Rebalanceo Suelo
2024-01-06 12:51:00,SHORT_PARTIAL,3.2228633110183322,Rebalanceo Suelo
2024-01-06 12:53:00,SHORT_PARTIAL,3.2228633110183322,Rebalanceo Suelo
2024-01-06 12:57:00,SHORT_PARTIAL,3.2424063515451964,Rebalanceo Suelo
2024-01-06 13:06:00,SHORT_PARTIAL,3.43783675681374,Rebalanceo Suelo
2024-01-06 13:08:00,SHORT_PARTIAL,3.5453234797114375,Rebalanceo Suelo
2024-01-06 13:09:00,SHORT_PARTIAL,3.43783675681374,Rebalanceo Suelo
2024-01-06 13:10:00,SHORT_PARTIAL,3.3694361149697434,Rebalanceo Suelo
2024-01-06 14:17:00,LONG_PARTIAL,1.743375817928439,Rebalanceo Techo
2024-01-06 14:29:00,LONG_PARTIAL,1.8144398401521045,Rebalanceo Techo
2024-01-06 14:31:00,LONG_PARTIAL,2.007327900473459,Rebalanceo Techo
2024-01-06 14:32:00,LONG_PARTIAL,1.9159598719001814,Rebalanceo Techo
2024-01-06 14:38:00,LONG_PARTIAL,1.9971758972986458,Rebalanceo Techo
2024-01-06 14:39:00,LONG_PARTIAL,1.9464158814246073,Rebalanceo Techo
2024-01-06 17:14:00,LONG_PARTIAL,1.9667198877742198,Rebalanceo Techo
2024-01-06 17:39:00,LONG_PARTIAL,2.07839192269711,Rebalanceo Techo
2024-01-06 17:44:00,LONG_PARTIAL,2.1291519385711486,Rebalanceo Techo
2024-01-06 19:21:00,SHORT_PARTIAL,0.8751355509006535,Rebalanceo Suelo
2024-01-06 19:24:00,SHORT_PARTIAL,0.8651782566315275,Rebalanceo Suelo
2024-01-06 19:31:00,SHORT_PARTIAL,0.9647511993227458,Rebalanceo Suelo
2024-01-06 21:07:00,SHORT_PARTIAL,1.2435554388581203,Rebalanceo Suelo
2024-01-06 21:08:00,SHORT_PARTIAL,1.2136835560507702,Rebalanceo Suelo
2024-01-06 21:09:00,SHORT_PARTIAL,1.1738543789742801,Rebalanceo Suelo
2024-01-06 21:13:00,SHORT_PARTIAL,1.1539397904360422,Rebalanceo Suelo
2024-01-06 22:27:00,SHORT_PARTIAL,1.5024450898552706,Rebalanceo Suelo
2024-01-06 22:37:00,SHORT_PARTIAL,1.8708649778127515,Rebalanceo Suelo
2024-01-06 22:39:00,SHORT_PARTIAL,1.8509503892745134,Rebalanceo Suelo
2024-01-06 22:55:00,SHORT_PARTIAL,1.8210785064671493,Rebalanceo Suelo
2024-01-06 23:08:00,SHORT_PARTIAL,2.14966921734814,Rebalanceo Suelo
2024-01-06 23:10:00,SHORT_PARTIAL,2.04013898038781,Rebalanceo Suelo
2024-01-06 23:11:00,SHORT_PARTIAL,2.00030980331132,Rebalanceo Suelo
2024-01-06 23:13:00,SHORT_PARTIAL,2.089925451733412,Rebalanceo Suelo
2024-01-06 23:16:00,SHORT_PARTIAL,2.1795411001555043,Rebalanceo Suelo
2024-01-07 00:51:00,LONG_PARTIAL,1.5525131529125522,Rebalanceo Techo
2024-01-07 02:48:00,SHORT_PARTIAL,1.4458259000288136,Rebalanceo Suelo
2024-01-07 08:23:00,SHORT_PARTIAL,0.6780525890517051,Rebalanceo Suelo
2024-01-07 08:44:00,SHORT_PARTIAL,0.7378790808161576,Rebalanceo Suelo
2024-01-07 08:47:00,SHORT_PARTIAL,1.1267512772850854,Rebalanceo Suelo
2024-01-07 08:48:00,SHORT_PARTIAL,1.0968380314028592,Rebalanceo Suelo
2024-01-07 08:52:00,SHORT_PARTIAL,1.4159126541465874,Rebalanceo Suelo
