2026-04-07 18:59:21 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.5 | PRECIO: 90.97 | NOTAS: Estrategia MTF
2026-04-07 18:59:28 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.3 | PRECIO: 94.89 | NOTAS: Estrategia MTF
2026-04-07 18:59:28 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.3 | PRECIO: 96.79 | NOTAS: Estrategia MTF
2026-04-07 18:59:28 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.3 | PRECIO: 91.09 | NOTAS: Estrategia MTF
2026-04-07 18:59:36 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.3 | PRECIO: 94.89 | NOTAS: Estrategia MTF
2026-04-07 18:59:36 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.3 | PRECIO: 96.79 | NOTAS: Estrategia MTF
2026-04-07 18:59:36 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.3 | PRECIO: 91.09 | NOTAS: Estrategia MTF
2026-04-07 19:06:09 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.4 | PRECIO: 95.55 | NOTAS: Estrategia MTF
2026-04-07 19:06:09 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 97.46 | NOTAS: Estrategia MTF
2026-04-07 19:06:09 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 91.73 | NOTAS: Estrategia MTF
2026-04-07 19:06:17 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.53 | NOTAS: Estrategia MTF
2026-04-07 19:06:17 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.44 | NOTAS: Estrategia MTF
2026-04-07 19:06:17 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.71 | NOTAS: Estrategia MTF
2026-04-07 19:06:24 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.4 | PRECIO: 95.55 | NOTAS: Estrategia MTF
2026-04-07 19:06:25 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 97.46 | NOTAS: Estrategia MTF
2026-04-07 19:06:25 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 91.73 | NOTAS: Estrategia MTF
2026-04-07 19:06:32 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.53 | NOTAS: Estrategia MTF
2026-04-07 19:06:33 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.44 | NOTAS: Estrategia MTF
2026-04-07 19:06:33 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.71 | NOTAS: Estrategia MTF
2026-04-07 19:06:40 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.53 | NOTAS: Estrategia MTF
2026-04-07 19:06:41 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.44 | NOTAS: Estrategia MTF
2026-04-07 19:06:41 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.71 | NOTAS: Estrategia MTF
2026-04-07 19:06:49 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.64 | NOTAS: Estrategia MTF
2026-04-07 19:06:49 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 97.55 | NOTAS: Estrategia MTF
2026-04-07 19:06:49 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 91.81 | NOTAS: Estrategia MTF
2026-04-07 19:06:57 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.4 | PRECIO: 95.58 | NOTAS: Estrategia MTF
2026-04-07 19:06:57 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 97.49 | NOTAS: Estrategia MTF
2026-04-07 19:06:57 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 91.76 | NOTAS: Estrategia MTF
2026-04-07 19:07:04 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.63 | NOTAS: Estrategia MTF
2026-04-07 19:07:05 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 97.54 | NOTAS: Estrategia MTF
2026-04-07 19:07:05 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 91.8 | NOTAS: Estrategia MTF
2026-04-07 19:07:14 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.7 | NOTAS: Estrategia MTF
2026-04-07 19:07:14 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 97.61 | NOTAS: Estrategia MTF
2026-04-07 19:07:14 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 91.87 | NOTAS: Estrategia MTF
2026-04-07 19:07:22 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.71 | NOTAS: Estrategia MTF
2026-04-07 19:07:22 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 97.62 | NOTAS: Estrategia MTF
2026-04-07 19:07:23 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 91.88 | NOTAS: Estrategia MTF
2026-04-07 19:07:30 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.68 | NOTAS: Estrategia MTF
2026-04-07 19:07:31 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 97.59 | NOTAS: Estrategia MTF
2026-04-07 19:07:31 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 91.85 | NOTAS: Estrategia MTF
2026-04-07 19:07:38 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.64 | NOTAS: Estrategia MTF
2026-04-07 19:07:38 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 97.55 | NOTAS: Estrategia MTF
